"plays","downloads","loads","finishes","likes","comments","uri","name","duration","created_time","sizes","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
2,0,8,0,0,0,/videos/261212681,"New Aliens X Future Gate Festival art direction | Jakub Ra |",653,2018-03-21T21:59:25+00:00,Array,3,20,131,263,1306,2
2,0,14,0,0,0,/videos/217204245,"Terénní výzkum | Marta Hrubá | 1999",839,2017-05-12T16:50:02+00:00,Array,4,68,286,572,1678,2
2,0,16,0,0,0,/videos/217207408,"Bude třeba dalších výzkumů | Andran Abramjan | 2011",511,2017-05-12T17:11:01+00:00,Array,5,4,22,44,1022,2
2,0,6,0,0,0,/videos/422792524,"Pták rybák | Kryštof Zvolánek | 2020",1597,2020-05-26T13:50:35+00:00,Array,2,9,153,306,3196,1
2,0,2,0,0,0,/videos/365253671,"Kanya | Apoorva Satish | 2020",942,2019-10-09T11:21:00+00:00,Array,1,79,373,746,1884,1
2,0,20,0,0,0,/videos/234324480,"Built to last - Official trailer",107,2017-09-18T14:00:17+00:00,Array,3,28,31,62,215,2
1,0,20,0,0,0,/videos/217320237,"The Collision - Official trailer",51,2017-05-13T19:20:12+00:00,Array,4,58,30,30,51,1
1,0,17,1,0,0,/videos/217210783,"The Fishermen - Official trailer",31,2017-05-12T17:34:51+00:00,Array,4,96,30,30,31,1
1,0,2,0,0,0,/videos/373906505,"A Date | Martin Jeřábek | 2020",940,2019-11-18T13:47:03+00:00,Array,1,96,911,911,941,1
1,0,14,0,0,0,/videos/217641719,"Fyzikové v roce 2 | Zdeněk Podskalský | 1988",962,2017-05-16T09:47:40+00:00,Array,2,4,46,46,962,1
1,0,5,1,0,0,/videos/288053463,"Days off - Official trailer",59,2018-09-03T19:14:40+00:00,Array,2,98,58,58,59,1
1,0,2,0,0,0,/videos/398378227,"Kluk | Eliška Kováříková | 2020",907,2020-03-17T22:49:47+00:00,Array,1,92,841,841,907,1
1,0,1,0,0,0,/videos/370859491,"Dance like a Gypsy | Michal Kunes Kováč | 2019",1104,2019-11-04T12:27:44+00:00,Array,1,98,1093,1093,1105,1
1,0,1,0,0,0,/videos/342979903,"The Failing Star | Loic Malo | 2019",1101,2019-06-18T12:41:46+00:00,Array,1,22,247,247,1102,1
1,0,2,0,0,0,/videos/417985650,"Social cube | Bety Suchanová | 2019",249,2020-05-13T11:04:10+00:00,Array,2,0,0,0,249,1
1,0,2,0,0,0,/videos/326778764,"Letušky | Karolína Litschová | 2019",1080,2019-03-27T10:56:28+00:00,Array,1,92,1004,1004,1080,1
1,0,2,1,0,0,/videos/417985558,"Sociální krychle | Bety Suchanová | 2019",249,2020-05-13T11:03:51+00:00,Array,1,99,248,248,249,1
1,0,2,1,0,0,/videos/375288068,"I switched shifts | Luboš Kučera | 2019   [FESTIVAL SCREENER]",1799,2019-11-24T22:10:14+00:00,Array,1,99,1798,1798,1799,1
1,0,13,0,0,0,/videos/227645966,"Malá - Official trailer",44,2017-07-30T20:23:13+00:00,Array,2,0,0,0,44,1
1,0,1,0,0,0,/videos/339537612,"Daughter - festival screener",884,2019-05-31T12:04:06+00:00,Array,1,97,859,859,884,1
0,0,1,0,0,0,,1,0,0,0,0,0
0,0,5,0,0,0,/videos/339765640,"Noctuelle - Official trailer",70,2019-06-01T20:02:22+00:00,Array,1,0,0,0,0,0
0,0,2,0,0,0,/videos/361784298,"Edible Water Bottles | Anežka Horová | 2019",201,2019-09-23T12:00:10+00:00,Array,2,0,0,0,0,0
0,0,1,0,0,0,/videos/346858682,"Illusion | Kateřina Turečková | 2018",3144,2019-07-08T13:28:36+00:00,Array,1,0,0,0,0,0
0,0,4,0,0,0,/videos/287226823,"24 - Official trailer",30,2018-08-29T10:35:45+00:00,Array,1,0,0,0,0,0
0,0,5,0,0,0,/videos/312924595,"Hypnagogia - Official trailer",30,2019-01-23T11:29:19+00:00,Array,0,0,0,0,0,0
0,0,3,0,0,0,/videos/306304236,"On the edge | Barbora Chalupová | 2018",842,2018-12-14T01:28:00+00:00,Array,3,0,0,0,0,0
0,0,4,0,0,0,/videos/386250215,"The Falling Star | Loïc Malo | 2019",1101,2020-01-21T15:19:31+00:00,Array,1,0,0,0,0,0
0,0,3,0,0,0,/videos/286180204,"Cukr a sůl - Official trailer",37,2018-08-22T13:56:03+00:00,Array,0,0,0,0,0,0
0,0,5,0,0,0,/videos/218627755,"Baba | Zuzana Špidlová | 2008 - 1st Prize at 62nd Cannes Film Festival",1244,2017-05-23T14:00:10+00:00,Array,0,0,0,0,0,0
"
",,,,,,,,,,,,,,,,
