# ----------------------------------------
# Všechny údaje o webu
# Přehled publika
# 20200501-20200531
# ----------------------------------------

Index hodiny,Časové období,Segment,Uživatelé
000072,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000072,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,2
000072,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,3
000073,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000073,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000073,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000073,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000074,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000074,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000074,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000074,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000075,1.5.2020 - 31.5.2020,Všichni uživatelé,1
000075,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000075,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,1
000075,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,1
000076,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000076,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000076,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000076,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000077,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000077,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000077,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000077,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000078,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000078,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000078,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000078,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000079,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000079,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000079,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000079,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000080,1.5.2020 - 31.5.2020,Všichni uživatelé,0
000080,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
000080,1.5.2020 - 31.5.2020,Návštěvnost z odkazujících zdrojů,0
000080,1.5.2020 - 31.5.2020,Opakovaní návštěvníci,0
000081,1.5.2020 - 31.5.2020,Všichni uživatelé,2
000081,1.5.2020 - 31.5.2020,Mobilní návštěvnost,0
